Accident Level,Critical Risk,Description,es,hi,it,Id,ja,he,ga,de,fr
I,Pressed,"While removing the drill rod of the Jumbo 08 for maintenance, the supervisor proceeds to loosen the support of the intermediate centralizer to facilitate the removal, seeing this the mechanic supports one end on the drill of the equipment to pull with both hands the bar and accelerate the removal from this, at this moment the bar slides from its point of support and tightens the fingers of the mechanic between the drilling bar and the beam of the jumbo.","While withdrawing the jumbo drill rod 08 for maintenance, the supervisor progresses to loosen the intermediate centralizer holder to facilitate removal, see this, the mechanic admits one end in the drill of the equipment to pull with both hands the bar and accelerate with both hands The elimination of this, at this time, the bar slides from its support point and tightens the fingers of the mechanic between the perforation bar and the jumbo beam.","While removing the drill rod of Jumbo 08 for maintenance, the supervisor moves forward to reduce the support of the Intermediate Centralizer, seeing it with both hands and to grow rapidly on the drill of the device. Supports one end to remove, this time slides from the point of your support and strengthens the mechanic fingers between the drilling bar and the beam of the jumbo.","When removing the jumbo 08 drill bar for maintenance, the supervisor proceeds to loosen the intermediate centralizer support to facilitate removal, seeing that the mechanic supports one end on the equipment drill to pull the bar with both hands And accelerate the removal from this, at this time the bar scrolls from its support point and tightens the mechanic fingers between the drilling bar and the jumbo range.","While removing the drill rod from Jumbo 08 for maintenance, the supervisor goes beyond to loosen support from the centralization of intermediaries to facilitate deletion, seeing this mechanical supports one end on the equipment drill to pull with both hands bar and speed up. Removal of this, at the moment the bar slides from the point of support and tightens the mechanical radius between the Jumbo drilling and beam.","While removing jumbo 08 drill rods for maintenance, the supervisor proceeds to loosen the support of the intermediate Centurizer to facilitate removal, and this mechanic supports one end with the device's drill, both hands Pull and accelerate the bar. This moment of removal of this moment, the bar at that time slides from its support point and tightens the mechanic's finger between the drilling bar and the jumbo beam.","When removing the drilling rod of Jumbo 08 for maintenance, the supervisor to release the support of the central medium to relieve removal, see the mechanic supports one end on the drill of equipment to attract with the two bars to accelerate removal from this, at this moment of its support point and tighten The fingers of a mechanic between the drilling bar and the Jambo Foundation.","As the drill rod is the jumbo 08 for maintenance, the supervisor's proceeds to support the intermediate shot to facilitate the removal, looking this mechanic that supports one end on the drilling of the equipment to draw both hands With the bar and speed up this policy, at this moment sliding the bar from his point of support and tight your fingers of the mechanic between the drilling bar and the jumbo beam.","When removing the boring rod of the Jumbo 08 for maintenance, the supervisor dissolves solving the support of the intermediary means central to facilitate the distance, which supports the mechanic an end to the drill of the device to pull the bar with both hands, and accelerate the distance thereof, at this moment the rod slides from its carrier point and tightens the fingers of the mechanic between the drill bar and the beam of the jumbo.","When removing the Jumbo 08 drilling rod for maintenance, the supervisor will loosen the intermediate centralization bracket to facilitate the deletion, see that the mechanic supports an end on the drill of the equipment to shoot With both hands the bar and accelerate the withdrawal of this at that moment the bar slips from its support point and tightens the mechanic's fingers between the drill bar and the jumbo beam."
I,Pressurized Systems,"During the activation of a sodium sulphide pump, the piping was uncoupled and the sulfide solution was designed in the area to reach the maid. Immediately she made use of the emergency shower and was directed to the ambulatory doctor and later to the hospital. Note: of sulphide solution = 48 grams / liter.","During the activation of a sodium sulfide pump, the pipe decoupled and the sulfur solution was designed in the area to reach the maid. Immediately he made use of the emergency shower and was directed to the ambulatory doctor and then to the hospital. Note: Sulfur solution = 48 grams / liter.","During the activation of sodium sulphide pump, piping was ignored and the sulphide solution was designed in the field to reach the maid. Immediately he used emergency bath and was directed to the hospital and later in the hospital. Note: Sulphide solution = 48 grams / liter.","When activating a sodium sulfide pump, the pipes were coupled and the sulfide solution was designed in the area to reach the waitress. Immediately made use of the emergency shower and was directed to the outpatient doctor and following the hospital. Note: solfinal solution = 48 grams / liter.","During activation of sodium sulfide pump, piping was inseparable and sulfide solution was designed in the area to reach the waiter. Immediately he used an emergency shower and was directed to the outpatient doctor and then to the hospital. Note: Sulfide solutions = 48 grams / liter.","During activation of sodium sulfide pump, the piping was cleaved and the sulfide solution was designed to reach maid in the region. Soon she used emergency fuel exclusion and was directed to adventure doctors and was later directed to the hospital. Note: Sulfide solution = 48 grams / liter.","During the operation of sodium sulfur pump, the plumbing was unoupled and a sulfur solution was designed in the area to reach the maid. She immediately used the emergency shower and turned to the ambulatory doctor and then to the hospital. Note: Solution sulphide = 48 g / liter.","During the activation of sodium sulfide pump, the piping and the design of the sulfide solution were not considered in the area to achieve the maid. Immediately she used the emergency shower and focused on the doctor and later to the hospital. Note: Of sulphide solution = 48 grams / liters.","During the activation of a sodium sulfide pump, the piping was decoupled and the sulfide solution was designed in the area so that it can reach the maid. She immediately used the emergency shower and directed himself to the Ambulatory Doctor and later in the hospital. Note: from sulfide solution = 48 grams / liter.","When activating a sodium sulfide pump, the piping has been decoupled and the sulfide solution has been designed in the area to reach the housekeeper. She immediately used the emergency shower and was directed to the ambulatory physician and later in the hospital. Note: Sulfide solution = 48 grams / liter."
I,Manual Tools,"In the sub-station MILPO located at level +170 when the collaborator was doing the excavation work with a pick (hand tool), hitting a rock with the flat part of the beak, it bounces off hitting the steel tip of the safety shoe and then the metatarsal area of ​​the left foot of the collaborator causing the injury.","In the Milpo sector located at the +170 level when the collaborator was doing the excavation work with a selection (hand tool), hitting a rock with the flat part of the peak, bounce off the steel tip of the safety shoe and then, the metatarsian area of ​​the left foot of the collaborator causing the injury.","Located at level +170 in sub-station millpo, the affiliate was working with a pickup (hand tool), hitting a rock with the flat part of the beak, by killing the tip of the steel shoe Prevents and then hurt in the metalal area of ​​the ally of the ally.","In the Milfo of the underwenting located at the +170 level when the collaborator was doing the excavation work with a grip (tool by hand), hitting a rock with the flat part of the beak, bounces to hit the steel tip of the safety shoe and then The metatar place of the collaborator's left foot causing the wound.","In the MILPO sub-station located at the level +170 when collaborators do excavation work with a pick (hand tool), hit the stone with a flat half-life, it bounces to hit the steel end of the safety shoes and then the methatarsal area of ​​the left leg collaborator causes injury.","The collaborator is a level +170 that was in the level + 170 where the collaborator was doing drilling work (hand tool), hitting a rock in a flat part of a beak, and hitting the tip of safety shoes steel and then collaborating from it The outer bone area of ​​the left foot of the later is injured.","At the Milpo Station located at a +170 level when shares the work in excavation with a selection (hand tools), hitting a rock with the flat part of the source, it bouncing hitting the steel end of the safety shoe and then the metatarsal area of ​​the footing partner causes injury .","In the Milpo station located at +170 level when the collaborator was doing the excavation work with picking (hand tool), hitting rock with the balanced part of the beak, it bounces from hitting the steel tip of the safety shoe and then The metatarsal area of ​​the left foot the collaborator causes the injury.","In the sub-transmitter Milpo is on Level +170, when the collaborator did the excavator with a pick (hand tool), hit with a rock with the flat part of the snack, the beating of the steel tip of the safety shoe results and then leads The metatarsal area of ​​the left foot of the collaborator the injury.","In the MILPO sub-item at the +170 level when the collaborator did the excavation work with a picture (hand tool), striking a rock with the flat part of the beak, it bounces on the tip of the steel of the steel. Security shoe and then the metatarsal area of ​​the left foot of the collaborator causing the injury."
I,Others,"Being 9:45 am. approximately in the Nv. 1880 CX-695 OB7, the personnel begins the task of unlocking the Soquet bolts of the BHB machine, when they were in the penultimate bolt they identified that the hexagonal head was worn, proceeding Mr. Cristóbal - Auxiliary assistant to climb to the platform to exert pressure with your hand on the ""DADO"" key, to prevent it from coming out of the bolt; in those moments two collaborators rotate with the lever in anti-clockwise direction, leaving the key of the bolt, hitting the palm of the left hand, causing the injury.","Being 9:45 am. Approximately in the NV. 1880 CX-695 OB7, the staff begins the task of unlocking the bolts of BHB machine, when they were on the penultimate bolt, identified that the hexagonal head was used, proceeding to Mr. Cristóbal, auxiliary auxiliary to climb to the platform A exerts pressure with the hand on the ""given"" key, to prevent it from coming out of the screw; In those moments, two collaborators rotate with the lever counterclockwise, leaving the bolt wrench, hitting the palm of his left hand, causing the injury.","At 9:45 pm Almost in NV 1880 CX-695 OB 7, the work starts unlocking the Listed Bolt of the BHB machine, when they were in family bolts, they identified that hexagonal head was worn, Mr. Crystable - Assistant assistant to climb the stage To stop coming out of auxiliary assistant bolt, pressure your hand on ""Dado"" key; In those moments, two associate roam with the liver in the opposite direction of the clock, leaving the key of the bolt, killing the left hand palm, due to injury.","Be at 9:45 am. Approximately in the NV. 1880 CX-695 OB7, the staff begins the task of unlocking the BHB machine's subtrapiest bolts, when they were in the penultimate bolt identified that the hexagonal head was worn, proceeding Mr. Cristóbal - auxiliary assistant to get on the platform to exercise pressure with the Hand on the key ""nut"", to avoid leaving the bolt; In those moments two collaborators rotate with the lever counterclockwise, leaving the bolt key, hitting the palm of the left hand, causing the wound.","To 9:45 a.m. About NV. 1880 CX-695 OB7, the personnel started the task of opening the satire bolt from the BHB machine, when they were in the second bolt from behind they identified that the hexagonal head was used, continued Mr. Cristobal - additional assistant to rise to the platform Give pressure with your hands on the key ""Dado"", to prevent it from getting out of the bolt; At that time the two collaborators spin with a lever with the anti-needle direction, leaving the bolt key, hit the left hand, causing an injury.","It is 9:45 am. Almost NV. 1880 CX-695 OB7, person in charge starts locking of BHB machine squirting bolt. Pressure pressure on the ""DADO"" key to prevent it from coming out of the bolt. At these moments, two co-owneders rotate in the direction of the lever and counterclockwise, leaving the key of the bolt, and the palm of the left hand will occur and cause injury.","Be 9:45 am. About in NV. 1880 CX-695 OB7, employees begin the task of opening the screws of the BHB machine, when they were in the latest blog that they identified that hexagonal head was worn, the continuation Mr. Christol - helped a help to climb to the platform to put pressure with your hand on the key ""Dado"" to prevent him from getting out of the bolt; In those moments, two collaborators rotate with the handle against the direction of the clockwise, leaving the key of the smuggler, hitting the left hand, causing injury.","Be 9:45 am. around the NV. 1880 CX-695 OB7, the personnel begins the task to unlock the soquet bolts of the Machine, when they were in the penultimate bolt they recognized that the hexagonal head, going forward Mr Cristóbal - Assistant Assistant to climb until The platform that exert pressure with your hand on the ""Dado"" key, to prevent it from coming out of the bolt; In these moments two collaborators rotate the lever towards anti-clockwise, leaving the bolt key, hitting the palm of the left, creating the injury.","9:45 will be. about in the NV. 1880 CX-695 OB7, the staff begins to unlock the WEQUET bolts of the BHB machine as they identified in the penultimate bolt they identified that the hexagonal head was worn to make Mr. Cristóbal - auxiliary assistant to On the platform to climb print by hand on the ""Dado"" button, to prevent it from coming out of the bolt; In these moments, two collaborators rotate with the lever towards counterclockwise, leaving the key of the bolt and beats the aperture of the left hand and causes the injury.","Be 9:45. about in the NV. 1880 CX-695 OB7, the staff starts the task of unlocking the BHB machine succut bolts, when they were in the penultimate bolt, they identified that the hexagonal head was worn, making Mr. Cristóbal - Auxiliary Assistant to climb the platform to exert pressure with your hand on the ""DADO"" key, to prevent the outlet of the bolt; In these moments two collaborators turn with the lever in the anti-clock direction, leaving the key of the bolt, striking the palm of the left hand, causing the injury."
IV,Others,"Approximately at 11:45 a.m. in circumstances that the mechanics Anthony (group leader), Eduardo and Eric Fernández-injured-the three of the Company IMPROMEC, performed the removal of the pulley of the motor of the pump 3015 in the ZAF of Marcy. 27 cm / Length: 33 cm / Weight: 70 kg), as it was locked proceed to heating the pulley to loosen it, it comes out and falls from a distance of 1.06 meters high and hits the instep of the right foot of the worker, causing the injury described.","At approximately 11:45 a.m. In circumstances that Anthony's mechanics (group leader), Eduardo and Eric Fernández, injured, the three of the Impromec company, performed the pulley of the motor of the 3015 pump in the Zaf de Marcy. 27 cm / length: 33 cm / weight: 70 kg), as blocked, proceed to heat the pulley to loosen it, leaves and fall from a distance of 1.06 meters high and hits the instep of the worker's right foot. , causing the described lesion.","About 11:45 pm In the circumstances, the Cancer Anthony (Group Leader), Eduardo and Eric Fernandez-Wound - The three company of the company demonstrated the removal of the punctuary of the pump 3015 motor in Zaf. 27 cm / length: 33 cm / weight: 70 kg), Because it moves forward to proceed to solve the rholemation, it comes out and falls from a distance of 1.06 meters and the right of the worker Hit the volatility of the foot, which is hurt.","Approximately at 11:45 A.M. In circumstances that the Anthony mechanics (leader of the group), Eduardo and Eric Fernández-wounded: the three of the Impromec company, performed the removal of the pulley of the pump of the pump 3015 in the ZAF of Marcy. 27 cm / Length: 33 cm / Weight: 70 kg), since it was locked proceed to heat the pulley to loosen it, goes out and falls from a distance of 1.06 meters high and hits the right foot of the worker's right foot , causing the described injury.","Around 11:45 a.m. In the circumstances that Anthony's mechanics (group leader), Eduardo and Eric Fernández - Injured - Three Impromec companies, removal pulley pump 3015 in ZAF Marcy. 27 cm / length: 33 cm / Weight: 70 kg), because it locked proceeded to heat the pulley to loosen it, it came out and fell from a distance of 1.06 meters high and crashed into the work foot, causing injury to be explained.","Approximately 11:45 AMCANS Anthony (group leader), Eduardo and Ericfernández-Noatureed-The Syple Impromec was removed by the author ZAF pump 3015 pulley. 27 cm / Length: 33 cm / Weight: 70 kg), so it is locked, it proceeds to loosen the loosening, it goes out, falls from the distance of 1.06 meters high, the right foot of the worker Causes the injury that strikes the back of the.","About at 11:45 pm. Under the circumstances that Anthony mechanics (group leader), Eduardo and Eric Fernandez - wounded - the three society are exploited, performed the removal of the pump motor roller 3015 in the ZAF of Marcy. 27 cm / Length: 33 cm / weight: 70 kg), as it was locked to continue heating the pulley to release it, it comes out and falls from a distance of 1.06 meters high and harms the effect of the worker's right worker, causing The injury described.","About 11:45 a.m. In circumstances that the Anthony Mechanics (Group leader), Eduardo and Eric Fernández-injured - three of the Immec Company, eliminating the pulley of the motor 3015 in ZAF de Marcy. 27 cm / length: 33 cm / weight: 70 kg), as he was locked to go on to heat the pulley to release it, it comes out and falls from an area of ​​1.06 meters high and meets with a hinspe The right foot of the worker, causing the injury reported.","About 11:45, under certain circumstances, in which the Mechanics Anthony (group leader), Eduardo and Eric Fernández-injured - the three of the company Impromec, carried out the removal of the role of the motor of the pump 3015 in the Zaf of Marcy. 27 cm / length: 33 cm / weight: 70 kg), as it was locked to heat the pulley to loosen it, it comes out and falls out of a distance of 1.06 meters high and meets the step of right Worker foot, whereby the described injury is described.","About 11:45, in circumstances that Mechanics Anthony (group leader), Eduardo and Eric Fernández - injured - the three of the Impromec company, made the removal of the pump pulley 3015 in the ZAF of Marcy . 27 cm / length: 33 cm / weight: 70 kg), as it has been locked, do the pulley to loosen it, it comes out and falls from a distance of 1.06 meters high and strikes the rest of the right foot worker, causing the injury described."
I,Pressurized Systems,"During the unloading operation of the ustulado Bag there was a need to unclog the discharge mouth of the silo truck. In performing this procedure, there was a maneuver of unhooking the hose without the total depressurisation of the mouth, projecting ustulado powder in the collaborator caused irritation in the eyes.","During the discharge operation of the usuled bag, there was a need to deploy the discharge mouth of the silo truck. When carrying this procedure, there was a maneuver to disengage the hose without the total depressance of the mouth, projecting the Ustulated dust in the collaborator caused irritation in the eyes.","During the unloading operation of the Ustulado bag, the discharge of the Silo truck was needed to unlock the mouth. In doing this process, there was a maneuver of uprooting the tube without the total depression of the mouth, presenting the Ustulado Powder in the affiliates.","During the exhaust operation of the Ustulado bag there was the need to unlock the discharge mouth of the silo truck. In the execution of this procedure, there was a maneuver to unhook the tube without the total depressurization of the mouth, projecting the dust of Ustulado into the collaborator caused eye irritation.","During the operation of the Ustulado bag dismissal there was a need to open the mouth of the estuary of the release of silo trucks. In carrying out this procedure, there is a maneuver to release hoses without depression of the total mouth, projecting ustulado powder in collaborators causes irritation to the eye.","During the unloading operation of the Ustulado bag, it was necessary to remove the outlet of the silo track. When performing this procedure, there was an operation of external pressure of the hose without the overall pressure reduction in the oral cavity, and the collaborator was stimulated.","During the unloading operation of the Autoldero, the mouth was needed to lose the discharge of silo truck. In the execution of this procedure, the maneuver of Unhooking the tube without the overall depressurization of the mouth, the Ustulado powder screening in a collaborator caused the eye stimulation.","During the unloading of the use of the intulado bag was necessary to unclog the discharge mouth of the silo truck. In doing this procedure, there was a maneuver without placing the pipeline without total depression of the mouth, a USTulado powder in the co-worker caused irritation in the eyes.","During the relief process of the Ustulado pocket, it was necessary to relieve the drainage of the silo truck. In carrying out this method, there was a maneuvering of the tube of the hose without the total depression of the mouth, which produces the projected Ustulado powder in the collaborator, the irritation in the eyes.","During the unloading operation of the USTULADO bag, it was necessary to rid the discharge mouth of the silo truck. By carrying out this procedure, there was a maneuver to pick up the pipe without the total depressurization of the mouth, the use of Cleading powder in the collaborator caused eye irritation."
I,Fall prevention (same level),"The collaborator reports that he was on street 09 holding in his left hand the volumetric balloon, when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand.","The collaborator informs that he was on Calle 09, holding in his left hand, the volumetric balloon, when he slid and when placing his hand on the ground, the volumetric balloon ended up rotating caused a small wound in his left hand.","The collaborative reports that he was on the street 09 holding in the volumatric balloon in his left hand, when he slipped his hand on the ground and broke the volumatric balloon, he got a small wound in the left hand.","The collaborator reports that it was on the road 09 which holds the volumetric balloon in his left hand, when he slipped and when he put his hand on earth the volumetric balloon ended the break caused a small wound in his left hand.","The collaborator reported that he was on Jalan 09 held in his left hand balloon volumetric, when he slipped and when he put his hand on the ground, the volumetric balloon finally broke caused his little injury.","The collaborator reported that he was holding his left hand with his left hand, and when he slipped down, and when he put his hand on the ground, he was broken on his left hand.","The cooperation reported that he was on the street 09 was holding his left hand and the vultured balloon, as he slid, and when he put his hand on the ground, eventually the wound in her left hand.","The collaborator reports that it was on the street 09 in his left hand the volumetric balloon, when he slipped and when he put his hand on the ground that the volumetric balloon breaking up with a small wound in his left hand.","The collaborator reported that he was on the street 09 09, who held the volumetric balloon in his left side when he slipped as he slipped, and when he sat down his hand on the ground, the volumetric balloon left that the volumetric Balloon broke, a small wound in the left hand.","The collaborator indicates that he was on the street 09 holding in his left hand the volumetric balloon, when he slipped and placing his hand on the floor, the volumetric balloon finished breaking caused a small wound in his left hand."
I,Pressed,"At approximately 04:50 p.m., when the mechanic technician José of the Tecnomin verified the transmission belts of the HM-100 pump at the Acid plant, he proceeded to turn the pulley manually; unexpectedly at that instant the electrician supervisor Miguel of the EKA Mining grabs the transmission belts to verify their tension, at which point the finger traps.","At approximately 04:50 p.m., when the mechanical technician José de la Tecnomin verified the transmission ribbons of the HM-100 pump on the acid plant, proceeded to convert the pulley manually; Unexpectedly at that moment, the electrician supervisor Miguel de la Mining Eka captures the transmission ribbons to verify his tension, at what point catches the fingers.","At approximately 04:50 PM, when the mechanic technician of Technomin verified the transmission belt of the HM-100 pump in the acid plant, it proceeded to change the pulley manually; Unexpectedly that accelerated electrician supervisor of Ace Mining, Miguel caught the transmission belt to verify his stress, indicating the finger trap.","At around 04:50 p.m., when the mechanical technician José del Tecnomin verified the HM-100 pump transmission belts to the acid system, proceeded to manually transform the pulley; Unexpectedly in that instant the oka mining electrician supervisor grabs the transmission belts to verify their tension, at what point the traps of the fingers.","Around 04:50 a.m., when José's mechanical technician from Tecnomin verified the HM-100 pump transmission belt in an acid plant, he continued to play the pulley manually; Unexpectedly at that time the Miguel electric supervisor from Eka Mining won the transmission belt to verify their tension, where the trap point.","About 04:50 P. M. Technomin Mechanic Engineer When Jesse verifies the HM-100 pump transmission belt in acid plants, he manually rotated the pulley. Yes, the Supervisor Miguel, an EKA Mining Electrician grabs the transmission belt and verifies that tension.","Around 4:50, when the José mechanic technician of tecnomin authenticate the broadcast belts of the HM-100 pump in acid factory, it continued to make manual pulley; Unexpectedly at that moment Inspector Electrician Miguel Mining Eka grabs the broadcast belts to verify their tension, where the point of finger traps.","At about 04:50 p.m., when the Mechanic Technician José of the Tecnomin transmission zones verified the HM-100 pump at the acid plant, he continued to turn the pulley manually; Unexpected by the volume of the Miguel electrician supervisor on the Eka Mining Grabs the transmission zones to verify its tension, at the point of finger traps.","At about 04:50, when the mechanic technician José of Tecnomine tested the transmission tapes of the HM-100 pump in the acid plant, drove the pulley manually; Unexpectedly At this time, the EKA Berg Electrician Supervisor Miguel takes the transmission belts to check their tension at which point the finger fall falls.","Around 04:50, when the José mechanical technician of the Tecnomin has verified the transmission belts of the HM-100 pump to the acid installation, he turned the pulley manually; Unexpectedly at this moment, the EKA Mining Miguel Electrician supervisor catches the transmission belts to check their tension, how much the fingertip traps."
I,Others,"Employee was sitting in the resting area at level 326 (raise bore), when he suffered sudden illness, falling and suffering excoriation on the face.","The employee was sitting in the rest area at level 326 (raising the hole), when he suffered a sudden disease, falling and suffering excorive in the face.","Employees were sitting in the comfort zone on 326 (bore enhancement), when he suddenly suffered anomaly on the disease, fall and face.","The employee was sitting in the rest area at level 326 (hole increase), when he suffered from a sudden, falling and suffering disease on his face.","Employees are sitting in a break area at the level 326 (raise bore), when he suffers from a sudden illness, falls and suffers exortion on the face.","When he was suffering from sudden illness and suffered from the face of the face, employees were sitting in a break at level 326 (raised holes).","The employee sat in the rest area at 326 level (raised carried), when he suffered from a sudden disease, falls and suffered on the face.","The employee was sitting in the rest area at level 326 (take the horror), when he suffered a sudden illness, falling and suffering suffering on the face.",The employee was sitting in the resting place on stage 326 (lifting bore) when he suffered a sudden illness has fallen and suffering from the face.,"The employee was sitting in the rest area at Level 326 (bore), when he suffered a sudden disease, falling and suffering from excoriation on his face."
I,Chemical substances,"At the moment the forklift operator went to manipulate big bag of bioxide in section 70 and just in front of the ladder that leads to the area of ​​manual displacement, he splashed spent at the height of his forehead from a fissure in pipe G -069, subsequently spilling to his left eye. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.","At this time, the operator of the forklift was to manipulate the large bioxide bag in section 70 and just in front of the staircase that leads to the manual scroll area, splashed at the height of his front of a fissure in the pipeline G - 069, later spilling to his left eye. The collaborator went to the nearby party to clean up and immediately to the medical center.","At the moment, the forklift operator went to manipulate the large bag of bioxide in Section 70 and the manual displacement in front of the ladder, he spent a fisher at the height of his forehead in the pipe - 06 9, later his left Spread in the eye. Collaborative went to nearby for cleanliness and immediate medical center.","At the moment the forklift operator went to manipulate the large bag of the dioxide dioxide in section 70 and right in front of the staircase leading to the area of ​​manual displacement, sprayed through the front of the front from a slot in tube g - 069, later pouring to his left eye. The collaborator went to the nearby eyepiece and immediately to the medical center.","Currently the forklift operator goes to manipulate a large bioxide bag in section 70 and right in front of the stairs that leads to the manual displacement area, he splashes spent on the top of his forehead from the G - 069 pipe, then spilled into his left eye. The collaborator goes to the closest eyewash to be cleaned and immediately to the medical center.","Currently, the forklift operator operates a large bag of the section 70 Bioxide, and in front of the ladder leading to the area of ​​manual displacement, he spent his value from the crack of pipe G-069, then the left eye It spills. The collaborator went to the glasses nearby for cleaning and soon went to the medical center.","At present, the forklift operator worked to operate a large bag of biological in section 70 and only before the ladder leading to the area of ​​manual moving, he spent spent at the height of his forehead in the G-069 pipe, then spilled his left eye. The cooperation went to the adjacent effect and immediately to the Medical Center.","At the moment the forklift operator went to a large bag of bioxide handling in section 70 and just in front of the ladder that arises to the manual displacement area, he splashed at the height of his forehead from ice in g pie - 069, followed by his left eye. The colleague went to the nearby eyewash for cleaning and immediately to the Medical Center.","At the moment in which the forklift operator manipulates in section 70 and directly from the conductor of the bioxide, and directly in front of the conductor, which leads to the area of ​​manual displacement, he injected at the height of his forehead from a riding in the pipe G - 069, then spilled on the left eye. The collaborator went for cleaning and immediately to the medical center at the nearby eyewash.","For the moment, the forklift operator has gone manipulate a large dioxide bag in section 70 and just in front of the scale that leads to the manual displacement area, it splashed at the height of its forehead of a crack. In the G-069 pipe, subsequently spreading to his left eye. The collaborator went to the nearby Eyewash for cleaning and immediately at the medical center."
